Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion
201,Sopo_Sur,2021-10-01,2022-09-01,2022-10-01,Train
202,Sopo_Sur,2021-11-01,2022-10-01,2022-11-01,Train
203,Sopo_Sur,2021-12-01,2022-11-01,2022-12-01,Train
204,Sopo_Sur,2022-01-01,2022-12-01,2023-01-01,Validacion
205,Sopo_Sur,2022-02-01,2023-01-01,2023-02-01,Validacion
206,Sopo_Sur,2022-03-01,2023-02-01,2023-03-01,Validacion
207,Sopo_Sur,2022-04-01,2023-03-01,2023-04-01,Validacion
208,Sopo_Sur,2022-05-01,2023-04-01,2023-05-01,Validacion
209,Sopo_Sur,2022-06-01,2023-05-01,2023-06-01,Validacion
210,Sopo_Sur,2022-07-01,2023-06-01,2023-07-01,Validacion
211,Sopo_Sur,2022-08-01,2023-07-01,2023-08-01,Validacion
212,Sopo_Sur,2022-09-01,2023-08-01,2023-09-01,Validacion
213,Sopo_Sur,2022-10-01,2023-09-01,2023-10-01,Validacion
214,Sopo_Sur,2022-11-01,2023-10-01,2023-11-01,Validacion
215,Sopo_Sur,2022-12-01,2023-11-01,2023-12-01,Validacion
216,Sopo_Sur,2023-01-01,2023-12-01,2024-01-01,Validacion
217,Sopo_Sur,2023-02-01,2024-01-01,2024-02-01,Validacion
218,Sopo_Sur,2023-03-01,2024-02-01,2024-03-01,Validacion
219,Sopo_Sur,2023-04-01,2024-03-01,2024-04-01,Validacion
220,Sopo_Sur,2023-05-01,2024-04-01,2024-05-01,Validacion
221,Sopo_Sur,2023-06-01,2024-05-01,2024-06-01,Validacion
222,Sopo_Sur,2023-07-01,2024-06-01,2024-07-01,Prueba
223,Sopo_Sur,2023-08-01,2024-07-01,2024-08-01,Prueba
224,Sopo_Sur,2023-09-01,2024-08-01,2024-09-01,Prueba
225,Sopo_Sur,2023-10-01,2024-09-01,2024-10-01,Prueba
226,Sopo_Sur,2023-11-01,2024-10-01,2024-11-01,Prueba
227,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01,Prueba
228,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01,Prueba
229,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01,Prueba
230,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01,Prueba
231,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01,Prueba
232,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01,Prueba
233,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01,Prueba
234,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01,Prueba
235,Sopo_Sur,2024-08-01,2025-07-01,2025-08-01,Prueba
236,Sopo_Sur,2024-09-01,2025-08-01,2025-09-01,Prueba
237,Sopo_Sur,2024-10-01,2025-09-01,2025-10-01,Prueba
238,Sopo_Sur,2024-11-01,2025-10-01,2025-11-01,Prueba
239,Sopo_Sur,2024-12-01,2025-11-01,2025-12-01,Prueba
240,Tocancipa_Media,2015-01-01,2015-12-01,2016-01-01,Train
241,Tocancipa_Media,2015-02-01,2016-01-01,2016-02-01,Train
242,Tocancipa_Media,2015-03-01,2016-02-01,2016-03-01,Train
243,Tocancipa_Media,2015-04-01,2016-03-01,2016-04-01,Train
244,Tocancipa_Media,2015-05-01,2016-04-01,2016-05-01,Train
245,Tocancipa_Media,2015-06-01,2016-05-01,2016-06-01,Train
246,Tocancipa_Media,2015-07-01,2016-06-01,2016-07-01,Train
247,Tocancipa_Media,2015-08-01,2016-07-01,2016-08-01,Train
248,Tocancipa_Media,2015-09-01,2016-08-01,2016-09-01,Train
249,Tocancipa_Media,2015-10-01,2016-09-01,2016-10-01,Train
250,Tocancipa_Media,2015-11-01,2016-10-01,2016-11-01,Train
251,Tocancipa_Media,2015-12-01,2016-11-01,2016-12-01,Train
252,Tocancipa_Media,2016-01-01,2016-12-01,2017-01-01,Train
253,Tocancipa_Media,2016-02-01,2017-01-01,2017-02-01,Train
254,Tocancipa_Media,2016-03-01,2017-02-01,2017-03-01,Train
255,Tocancipa_Media,2016-04-01,2017-03-01,2017-04-01,Train
256,Tocancipa_Media,2016-05-01,2017-04-01,2017-05-01,Train
257,Tocancipa_Media,2016-06-01,2017-05-01,2017-06-01,Train
258,Tocancipa_Media,2016-07-01,2017-06-01,2017-07-01,Train
259,Tocancipa_Media,2016-08-01,2017-07-01,2017-08-01,Train
260,Tocancipa_Media,2016-09-01,2017-08-01,2017-09-01,Train
261,Tocancipa_Media,2016-10-01,2017-09-01,2017-10-01,Train
262,Tocancipa_Media,2016-11-01,2017-10-01,2017-11-01,Train
263,Tocancipa_Media,2016-12-01,2017-11-01,2017-12-01,Train
264,Tocancipa_Media,2017-01-01,2017-12-01,2018-01-01,Train
265,Tocancipa_Media,2017-02-01,2018-01-01,2018-02-01,Train
266,Tocancipa_Media,2017-03-01,2018-02-01,2018-03-01,Train
267,Tocancipa_Media,2017-04-01,2018-03-01,2018-04-01,Train
268,Tocancipa_Media,2017-05-01,2018-04-01,2018-05-01,Train
269,Tocancipa_Media,2017-06-01,2018-05-01,2018-06-01,Train
270,Tocancipa_Media,2017-07-01,2018-06-01,2018-07-01,Train
271,Tocancipa_Media,2017-08-01,2018-07-01,2018-08-01,Train
272,Tocancipa_Media,2017-09-01,2018-08-01,2018-09-01,Train
273,Tocancipa_Media,2017-10-01,2018-09-01,2018-10-01,Train
274,Tocancipa_Media,2017-11-01,2018-10-01,2018-11-01,Train
275,Tocancipa_Media,2017-12-01,2018-11-01,2018-12-01,Train
276,Tocancipa_Media,2018-01-01,2018-12-01,2019-01-01,Train
277,Tocancipa_Media,2018-02-01,2019-01-01,2019-02-01,Train
278,Tocancipa_Media,2018-03-01,2019-02-01,2019-03-01,Train
279,Tocancipa_Media,2018-04-01,2019-03-01,2019-04-01,Train
280,Tocancipa_Media,2018-05-01,2019-04-01,2019-05-01,Train
281,Tocancipa_Media,2018-06-01,2019-05-01,2019-06-01,Train
282,Tocancipa_Media,2018-07-01,2019-06-01,2019-07-01,Train
283,Tocancipa_Media,2018-08-01,2019-07-01,2019-08-01,Train
284,Tocancipa_Media,2018-09-01,2019-08-01,2019-09-01,Train
285,Tocancipa_Media,2018-10-01,2019-09-01,2019-10-01,Train
286,Tocancipa_Media,2018-11-01,2019-10-01,2019-11-01,Train
287,Tocancipa_Media,2018-12-01,2019-11-01,2019-12-01,Train
288,Tocancipa_Media,2019-01-01,2019-12-01,2020-01-01,Train
289,Tocancipa_Media,2019-02-01,2020-01-01,2020-02-01,Train
290,Tocancipa_Media,2019-03-01,2020-02-01,2020-03-01,Train
291,Tocancipa_Media,2019-04-01,2020-03-01,2020-04-01,Train
292,Tocancipa_Media,2019-05-01,2020-04-01,2020-05-01,Train
293,Tocancipa_Media,2019-06-01,2020-05-01,2020-06-01,Train
294,Tocancipa_Media,2019-07-01,2020-06-01,2020-07-01,Train
295,Tocancipa_Media,2019-08-01,2020-07-01,2020-08-01,Train
296,Tocancipa_Media,2019-09-01,2020-08-01,2020-09-01,Train
297,Tocancipa_Media,2019-10-01,2020-09-01,2020-10-01,Train
298,Tocancipa_Media,2019-11-01,2020-10-01,2020-11-01,Train
299,Tocancipa_Media,2019-12-01,2020-11-01,2020-12-01,Train
300,Tocancipa_Media,2020-01-01,2020-12-01,2021-01-01,Train
301,Tocancipa_Media,2020-02-01,2021-01-01,2021-02-01,Train
302,Tocancipa_Media,2020-03-01,2021-02-01,2021-03-01,Train
303,Tocancipa_Media,2020-04-01,2021-03-01,2021-04-01,Train
304,Tocancipa_Media,2020-05-01,2021-04-01,2021-05-01,Train
305,Tocancipa_Media,2020-06-01,2021-05-01,2021-06-01,Train
306,Tocancipa_Media,2020-07-01,2021-06-01,2021-07-01,Train
307,Tocancipa_Media,2020-08-01,2021-07-01,2021-08-01,Train
308,Tocancipa_Media,2020-09-01,2021-08-01,2021-09-01,Train
309,Tocancipa_Media,2020-10-01,2021-09-01,2021-10-01,Train
310,Tocancipa_Media,2020-11-01,2021-10-01,2021-11-01,Train
311,Tocancipa_Media,2020-12-01,2021-11-01,2021-12-01,Train
312,Tocancipa_Media,2021-01-01,2021-12-01,2022-01-01,Train
313,Tocancipa_Media,2021-02-01,2022-01-01,2022-02-01,Train
314,Tocancipa_Media,2021-03-01,2022-02-01,2022-03-01,Train
315,Tocancipa_Media,2021-04-01,2022-03-01,2022-04-01,Train
316,Tocancipa_Media,2021-05-01,2022-04-01,2022-05-01,Train
317,Tocancipa_Media,2021-06-01,2022-05-01,2022-06-01,Train
318,Tocancipa_Media,2021-07-01,2022-06-01,2022-07-01,Train
319,Tocancipa_Media,2021-08-01,2022-07-01,2022-08-01,Train
320,Tocancipa_Media,2021-09-01,2022-08-01,2022-09-01,Train
321,Tocancipa_Media,2021-10-01,2022-09-01,2022-10-01,Train
322,Tocancipa_Media,2021-11-01,2022-10-01,2022-11-01,Train
323,Tocancipa_Media,2021-12-01,2022-11-01,2022-12-01,Train
324,Tocancipa_Media,2022-01-01,2022-12-01,2023-01-01,Validacion
325,Tocancipa_Media,2022-02-01,2023-01-01,2023-02-01,Validacion
326,Tocancipa_Media,2022-03-01,2023-02-01,2023-03-01,Validacion
327,Tocancipa_Media,2022-04-01,2023-03-01,2023-04-01,Validacion
328,Tocancipa_Media,2022-05-01,2023-04-01,2023-05-01,Validacion
329,Tocancipa_Media,2022-06-01,2023-05-01,2023-06-01,Validacion
330,Tocancipa_Media,2022-07-01,2023-06-01,2023-07-01,Validacion
331,Tocancipa_Media,2022-08-01,2023-07-01,2023-08-01,Validacion
332,Tocancipa_Media,2022-09-01,2023-08-01,2023-09-01,Validacion
333,Tocancipa_Media,2022-10-01,2023-09-01,2023-10-01,Validacion
334,Tocancipa_Media,2022-11-01,2023-10-01,2023-11-01,Validacion
335,Tocancipa_Media,2022-12-01,2023-11-01,2023-12-01,Validacion
336,Tocancipa_Media,2023-01-01,2023-12-01,2024-01-01,Validacion
337,Tocancipa_Media,2023-02-01,2024-01-01,2024-02-01,Validacion
338,Tocancipa_Media,2023-03-01,2024-02-01,2024-03-01,Validacion
339,Tocancipa_Media,2023-04-01,2024-03-01,2024-04-01,Validacion
340,Tocancipa_Media,2023-05-01,2024-04-01,2024-05-01,Validacion
341,Tocancipa_Media,2023-06-01,2024-05-01,2024-06-01,Validacion
342,Tocancipa_Media,2023-07-01,2024-06-01,2024-07-01,Prueba
343,Tocancipa_Media,2023-08-01,2024-07-01,2024-08-01,Prueba
344,Tocancipa_Media,2023-09-01,2024-08-01,2024-09-01,Prueba
345,Tocancipa_Media,2023-10-01,2024-09-01,2024-10-01,Prueba
346,Tocancipa_Media,2023-11-01,2024-10-01,2024-11-01,Prueba
347,Tocancipa_Media,2023-12-01,2024-11-01,2024-12-01,Prueba
348,Tocancipa_Media,2024-01-01,2024-12-01,2025-01-01,Prueba
349,Tocancipa_Media,2024-02-01,2025-01-01,2025-02-01,Prueba
350,Tocancipa_Media,2024-03-01,2025-02-01,2025-03-01,Prueba
351,Tocancipa_Media,2024-04-01,2025-03-01,2025-04-01,Prueba
352,Tocancipa_Media,2024-05-01,2025-04-01,2025-05-01,Prueba
353,Tocancipa_Media,2024-06-01,2025-05-01,2025-06-01,Prueba
354,Tocancipa_Media,2024-07-01,2025-06-01,2025-07-01,Prueba
355,Tocancipa_Media,2024-08-01,2025-07-01,2025-08-01,Prueba
356,Tocancipa_Media,2024-09-01,2025-08-01,2025-09-01,Prueba
357,Tocancipa_Media,2024-10-01,2025-09-01,2025-10-01,Prueba
358,Tocancipa_Media,2024-11-01,2025-10-01,2025-11-01,Prueba
359,Tocancipa_Media,2024-12-01,2025-11-01,2025-12-01,Prueba
360,Villapinzon_Alta,2015-01-01,2015-12-01,2016-01-01,Train
361,Villapinzon_Alta,2015-02-01,2016-01-01,2016-02-01,Train
362,Villapinzon_Alta,2015-03-01,2016-02-01,2016-03-01,Train
363,Villapinzon_Alta,2015-04-01,2016-03-01,2016-04-01,Train
364,Villapinzon_Alta,2015-05-01,2016-04-01,2016-05-01,Train
365,Villapinzon_Alta,2015-06-01,2016-05-01,2016-06-01,Train
366,Villapinzon_Alta,2015-07-01,2016-06-01,2016-07-01,Train
367,Villapinzon_Alta,2015-08-01,2016-07-01,2016-08-01,Train
368,Villapinzon_Alta,2015-09-01,2016-08-01,2016-09-01,Train
369,Villapinzon_Alta,2015-10-01,2016-09-01,2016-10-01,Train
370,Villapinzon_Alta,2015-11-01,2016-10-01,2016-11-01,Train
371,Villapinzon_Alta,2015-12-01,2016-11-01,2016-12-01,Train
372,Villapinzon_Alta,2016-01-01,2016-12-01,2017-01-01,Train
373,Villapinzon_Alta,2016-02-01,2017-01-01,2017-02-01,Train
374,Villapinzon_Alta,2016-03-01,2017-02-01,2017-03-01,Train
375,Villapinzon_Alta,2016-04-01,2017-03-01,2017-04-01,Train
376,Villapinzon_Alta,2016-05-01,2017-04-01,2017-05-01,Train
377,Villapinzon_Alta,2016-06-01,2017-05-01,2017-06-01,Train
378,Villapinzon_Alta,2016-07-01,2017-06-01,2017-07-01,Train
379,Villapinzon_Alta,2016-08-01,2017-07-01,2017-08-01,Train
380,Villapinzon_Alta,2016-09-01,2017-08-01,2017-09-01,Train
381,Villapinzon_Alta,2016-10-01,2017-09-01,2017-10-01,Train
